team,flag,rank,apps,best,last,players,wc_gold,wc_silver,wc_bronze
Brasil,🇧🇷,6,22,"Campeão 5× (1958, 1962, 1970, 1994, 2002)",Quartas 2022 — eliminado pela Croácia nos pênaltis,"Neymar Jr., Casemiro., Estevão,",5,0,2
Marrocos,🇲🇦,11,6,Semifinal 2022 — primeiro africano,Semifinal 2022 — eliminado pela França,"Hakimi, En-Nesyri, Ziyech, Ounahi",0,0,0
França,🇫🇷,1,16,"Campeão 2× (1998, 2018)",Vice-campeão 2022 — derrota para Argentina na final,"Mbappé, Griezmann, Camavinga, Tchouaméni",2,2,2
Senegal,🇸🇳,14,4,Quartas de final (2002),Oitavas 2022 — eliminado pela Inglaterra,"Mané, Koulibaly, Sarr, Diatta",0,0,0
Espanha,🇪🇸,2,16,Campeão 1× (2010) + Euro 2024,Oitavas 2022 — eliminada pelo Marrocos nos pênaltis,"Yamal, Pedri, Rodri, Morata, Williams",1,1,0
Alemanha,🇩🇪,12,20,"Campeão 4× (1954, 1974, 1990, 2014)",Fase de grupos 2022 — eliminação precoce,"Musiala, Wirtz, Havertz, Kimmich, Rüdiger",4,4,4
Países Baixos,🇳🇱,7,11,"Vice-campeão 3× (1974, 1978, 2010)",Quartas 2022 — eliminado pela Argentina,"Van Dijk, De Jong, Gakpo, Depay",0,3,1
Bélgica,🇧🇪,9,14,3º lugar (1986),Oitavas 2022 — eliminada pelo Marrocos,"De Bruyne, Lukaku, Tielemans",0,0,1
Argentina,🇦🇷,3,18,"Campeão 3× (1978, 1986, 2022)",Campeão 2022 — venceu a França na final,"Messi, L.Martínez, Mac Allister, De Paul",3,3,0
Portugal,🇵🇹,5,9,3º lugar 1966 / Euro 2016,Quartas 2022 — eliminado pelo Marrocos,"Cristiano Ronaldo, Bruno Fernandes, G.Ramos",0,0,1
Inglaterra,🏴󠁧󠁢󠁥󠁮󠁧󠁿,4,17,Campeão 1× (1966),Quartas 2022 — eliminada pela França,"Bellingham, Kane, Saka, Foden",1,0,0
